code,desc,canonical,discipline,keep
OLGDD,Graduate Division Ops,,,0
RRESS,Research Enterprise Supp Svcs,,,0
AIDVO,Development Office,,,0
IPPEP,Phys Ed Program,,,0
NGITS,Inst Transportation Studies,,,0
LMOIH,International House,,,0
UKHDS,Housing & Dining Services,,,0
HYACD,Unex Academic Depts,,,0
UYOLI,Osher Lifelong Learning Inst,,,0
EUNEU,Helen Wills Neuroscience Inst,,,0
DACED,Envir Design Dean's Off,,,0
OAVCO,Research Office,,,0
EXADM,UNEX Administrative Depts,,,0
HOGSP,German Span & Port Admin,,,0
NPRAL,Radio Astronomy Lab,,,0
ZMBSU,Ctrl Ops Payroll,,,0
EERES,COENG Engineering Research,,,0
FUPOL,University Police,,,0
QALSD,L&S; Deans' Office,,,0
IQBBB,QB3 Institute,,,0
HUFLM,Film and Media,Film and Media,Arts & humanities,1
SLING,Linguistics,Linguistics,Social science,1
HRHET,Rhetoric,Rhetoric,Arts & humanities,1
LQAPR,Art Practice,Art Practice,Arts & humanities,1
PAAST,Astronomy,Astronomy,Natural science,1
BCIBI,Inst for Business Innovation,Business,Professional,1
SDDEM,Demography,Demography,Professional,1
SPOLS,Political Science,Political Science,Social science,1
MCECO,ESPM ECOSYSTEM SCIENCES DIV,"Environmental Science, Policy and Management",Other,1
HCPHI,Philosophy,Philosophy,Arts & humanities,1
MCESD,ESPM SOCIETY & ENVIRONMENT DIV,"Environmental Science, Policy and Management",Other,1
CLLAW,Law,Law,Professional,1
LPSPP,Spanish & Portuguese,Spanish and Portuguese,Language,1
PGEGE,Earth & Planetary Science,Earth and Planetary Science,Natural science,1
MDNST,Nutritional Sci & Tox Dept,Nutritional science,Natural science,1
SISOC,Sociology,Sociology,Social science,1
SGEOG,Geography,Geography,Natural science,1
HARTH,Art History,Art History,Arts & humanities,1
EIIEO,Industrial Eng & Ops Res,Industrial Engineering & Operations Research,Engineering,1
HITAL,Italian Studies,Italian,Social science,1
CCHEM,Dept Of Chemistry,Chemistry,Natural science,1
MMIMS,School of Info Operations,Information,Professional,1
LSCLA,Classics,Classics,Arts & humanities,1
EAEDU,School of Education,Education,Professional,1
DFLAE,Landscape Arch & Envir Plng,Landscape Architecture & Environmental Planning,Professional,1
SBETH,Ethnic Studies,Ethnic Studies,Social science,1
IMMCB,Molecular & Cell Biology,Biology,Natural science,1
QHUTL,Undgrd Itdsc Stdies Tch & Lrn,Interdisciplinary Studies,Other,1
MBARC,Agricultural Res Econ Pol,Agricultural and Resource Economics and Policy,Social science,1
HDRAM,"Theater, Dance & Perf Studies","Theater, Dance and Performance Studies",Arts & humanities,1
SYPSY,Psychology,Psychology,Social science,1
SECON,Economics,Economics,Social science,1
LTSLL,Slavic Languages & Literature,Slavic Languages and Literature,Language,1
PSTAT,Statistics,Statistics,Mathematical science,1
HFREN,French,French,Language,1
BAHSB,Haas Core Programs,Business,Business,1
HNNES,Near Eastern Studies,Near Eastern Studies,Social science,1
HVSSA,South & Southeast Asian Std,South & Southeast Asian Studies,Social science,1
EH1EE,Elect Eng  Div Operations,Electrical Engineering,Engineering,1
DJOUR,School of Journalism Dept,Journalism,Professional,1
IMRES,MCB Research,Biology,Natural science,1
IBIBI,Integrative Biology,Biology,Natural science,1
EGCEE,Civil & Environ Engineer,Civil and Environmental Engineering,Engineering,1
HLCOM,Comparative Literature,Comparative Literature,Arts & humanities,1
QKCWP,College Writing Programs,College Writing,Arts & humanities,1
MCESP,"Environ Sci, Policy & Mgmt","Environmental Science, Policy and Management",Other,1
LBEAS,Inst East Asian Studies,East Asian Studies,Social science,1
EH1EO,EECS Dept Operations,Electrical Engineering and Computer Science,Engineering,1
DBARC,Dept of Architecture,Architecture,Professional,1
PMATH,Mathematics,Mathematics,Mathematical science,1
SWOME,Gender and Women's Studies,Gender and Women's Studies,Social science,1
BOOPT,School of Optometry Dean,Optometry,Professional,1
EF1BO,BIOE Dept Operations,Bioengineering,Engineering,1
HGEAL,East Asian Languages & Cult,East Asian Languages and Culture,Language,1
EH1CS,Comp Sci Div Operations,Computer Science,Mathematical science,1
SHIST,History,History,Social science,1
HSCAN,Scandinavian Languages,Scandinavian Languages,Language,1
EWSUM,Summer Sessions & Study Abroad,,,0
EJMSM,Material Sci & Engineeri,Material Science and Engineering,Engineering,1
MEPMB,Plant & Microbial Biology,Biology,Natural science,1
QHUIS,Undergrad Interdisc Studies,Interdisciplinary Studies,Other,1
CSDEP,Dept of Social Welfare,Social Welfare,Professional,1
PHYSI,Physics,Physics,Natural science,1
HENGL,English,English,Arts & humanities,1
CEEEG,Dept of Chemical E,Chemical Engineering,Engineering,1
MGERG,Energy & Resources Group ERG,Energy and Resources Engineering,Engineering,1
DCCRP,City & Regional Planning,City and Regional Planning,Professional,1
EKMEG,Mechanical Engineering,Mechanical Engineering,Engineering,1
HZGER,German,German,Language,1
NSARF,Archaeological Res Facility,Archaeology,Social science,1
QIIAS,Intl & Area Stud Tchg Prgm,International and Area Studies,Other,1
HMUSC,Music,Music,Other,1
BPOPC,Optometry Clinic,Optometry,Professional,1
CKGEN,GSPP Department Ops,Public Policy,Professional,1
SZANT,Anthropology,Anthroplogy,Social science,1
SAAMS,African Am Studies,African American Studies,Social science,1
CQADM,SPH Administration,Public Health,Professional,1
LFMES,,Middle Eastern Studies,Social science,1
EUNEU,Helen Wills Neuroscience Inst,Psychology,Social science,1
ELNUC,Nuclear Engineering,Nuclear Engineering,Engineering,1
HWBUD,Buddhist Studies,Buddhist Studies,Social science,1
MCINS,,"Environmental Science, Policy and Management",Other,1
DACED,,Environmental Design,Other,1
SMTOC,,Electrical Engineering and Computer Science,Engineering,1
NPRAL,Radio Astronomy Lab,Astronomy,Physical science,1
