db_title,qualifier,type,year_code,keep
HS ASST CLIN PROF-AY,clinical,assistant professor,AY,0
ASST PROF-AY-B/E/E,b/e/e,assistant professor,AY,1
HS ASST CLIN PROF-GENCOMP-B,clinical,assistant professor,,0
HS ASST CLIN PROFESSOR-ACAD YR,clinical,assistant professor,AY,0
ACT ASST PROF-AY-B/E/E,b/e/e,assistant professor,AY,1
ASST PROFESSOR - FISCAL YEAR,,assistant professor,FY,1
HS ASST CLIN PROFESSOR-FY,clinical,assistant professor,FY,0
ASST PROF OF CLIN-FY,clinical,assistant professor,,0
HS ASSISTANT CLIN PROF-HCOMP,clinical,assistant professor,,0
ASSISTANT PROFESSOR-ACAD YR,,assistant professor,AY,1
HS ASST CLIN PROF-FY,clinical,assistant professor,FY,0
ASST PROF-AY,,assistant professor,AY,1
ASST PROF-ACAD YR-BUS/ECON/ENG,b/e/e,assistant professor,AY,1
HS ASST CLIN PROF-HCOMP,clinical,assistant professor,,0
ACT ASST PROFESSOR-ACADEMIC YR,,assistant professor,AY,1
ASST PROF IN RES-AY,in residence,assistant professor,AY,1
ASST PROF-FY,,assistant professor,FY,1
ACT ASST PROF-AY                                  ,,assistant professor,AY,1
ASST PROF-AY                                      ,,assistant professor,AY,1
ASST PROF-ACAD YR-BUS/ENG,b/e/e,assistant professor,AY,1
ASSISTANT PROFESSOR-AY-1/9TH,,assistant professor,AY,1
ACT ASST PROF-AY,,assistant professor,AY,1
ASST PROF-AY-B/E/E                                ,b/e/e,assistant professor,AY,1
ASSOC PROF OF CLINICAL_____-FY,clinical,associate professor,FY,0
HS ASSOCIATE CLIN PROF-HCOMP,clinical,associate professor,,0
ASSOC PROF OF CLIN-HCOMP,clinical,associate professor,,0
ASSOCIATE PROFESSOR-ACAD YR,,associate professor,AY,1
ASSOC PROF-FY,,associate professor,FY,1
ASSOC PROF-AY,,associate professor,AY,1
ACT AST PROF-AY-BUS/ECON/ENG,b/e/e,associate professor,AY,1
ACT ASSOC PROF-AY-BUS/ECON/ENG,b/e/e,associate professor,AY,1
ASSOC PROF-AY                                     ,,associate professor,AY,1
